Date,Close/Last,Volume,Open,High,Low
06/12/2020,$13.3186,11805720,$13.5975,$13.619,$13.0417
06/11/2020,$13.1392,13922095,$13.6853,$13.6892,$13.0856
06/10/2020,$13.7516,9316485,$13.6521,$13.7691,$13.4854
06/09/2020,$13.3498,4934960,$13.3479,$13.4171,$13.2426
06/08/2020,$13.3713,6963030,$13.1645,$13.4161,$13.1255
06/05/2020,$13.1275,6372490,$12.9851,$13.1743,$12.9793
06/04/2020,$12.9071,5837870,$13.067,$13.147,$12.8837
06/03/2020,$13.0261,13616160,$12.872,$13.0709,$12.8652
06/02/2020,$13.0183,7102815,$12.8681,$13.0319,$12.8564
06/01/2020,$12.7725,7118485,$12.6594,$12.8037,$12.5911
05/29/2020,$12.6302,5884795,$12.5209,$12.6302,$12.4137
05/28/2020,$12.5951,8034385,$12.40,$12.7413,$12.40
05/27/2020,$12.2811,7623265,$12.1894,$12.2928,$12.0958
05/26/2020,$12.127,7175620,$12.2459,$12.3181,$12.1231
05/22/2020,$12.3337,4244610,$12.3259,$12.3493,$12.2069
05/21/2020,$12.2362,6073090,$12.2869,$12.361,$12.126
05/20/2020,$12.3201,10734040,$12.3318,$12.4527,$12.2986
05/19/2020,$12.2967,10591750,$12.5385,$12.5482,$12.2869
05/18/2020,$12.4956,9884475,$12.2869,$12.5707,$12.2256
05/15/2020,$12.4839,6206860,$12.3883,$12.5911,$12.3805
05/14/2020,$12.4156,6649300,$12.2752,$12.4156,$12.164
05/13/2020,$12.244,12719690,$12.4195,$12.4917,$12.1494
05/12/2020,$12.792,5701060,$12.8564,$12.95,$12.7842
05/11/2020,$12.8661,4584075,$12.8271,$12.8817,$12.7306
05/08/2020,$12.7764,4789990,$12.677,$12.8505,$12.597
05/07/2020,$12.5541,4503185,$12.5346,$12.597,$12.4624
05/06/2020,$12.4722,4567920,$12.4702,$12.5317,$12.3337
05/05/2020,$12.363,4786395,$12.2654,$12.4312,$12.244
